127.0.0.1 - - [13/Jul/2024:10:10:37 +0900] "GET / HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [13/Jul/2024:10:10:40 +0900] "GET /practice/write.jsp HTTP/1.1" 200 486
0:0:0:0:0:0:0:1 - - [13/Jul/2024:10:10:40 +0900] "GET /favicon.ico HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [13/Jul/2024:10:11:06 +0900] "GET /practice/write.jsp HTTP/1.1" 200 501
0:0:0:0:0:0:0:1 - - [13/Jul/2024:10:11:06 +0900] "GET /favicon.ico HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [13/Jul/2024:10:11:14 +0900] "GET /practice/write.jsp HTTP/1.1" 200 501
0:0:0:0:0:0:0:1 - - [13/Jul/2024:10:11:15 +0900] "GET /practice/write.jsp HTTP/1.1" 200 501
0:0:0:0:0:0:0:1 - - [13/Jul/2024:10:11:16 +0900] "GET /practice/write.jsp HTTP/1.1" 200 501
0:0:0:0:0:0:0:1 - - [13/Jul/2024:10:11:17 +0900] "GET /practice/write.jsp HTTP/1.1" 200 501
0:0:0:0:0:0:0:1 - - [13/Jul/2024:10:11:18 +0900] "GET /practice/write.jsp HTTP/1.1" 200 501
0:0:0:0:0:0:0:1 - - [13/Jul/2024:10:11:19 +0900] "GET /practice/write.jsp HTTP/1.1" 200 501
0:0:0:0:0:0:0:1 - - [13/Jul/2024:10:11:19 +0900] "GET /practice/write.jsp HTTP/1.1" 200 501
0:0:0:0:0:0:0:1 - - [13/Jul/2024:10:11:20 +0900] "GET /practice/write.jsp HTTP/1.1" 200 501
0:0:0:0:0:0:0:1 - - [13/Jul/2024:10:11:44 +0900] "GET /practice/write.jsp HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [13/Jul/2024:10:11:45 +0900] "GET /practice/write.jsp HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [13/Jul/2024:10:12:14 +0900] "GET /practice/write.jsp HTTP/1.1" 200 489
