127.0.0.1 - - [19/Aug/2024:10:03:19 +0900] "GET / HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [19/Aug/2024:10:03:22 +0900] "GET /pension/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:10:03:22 +0900] "GET /pension/main/index HTTP/1.1" 200 10128
0:0:0:0:0:0:0:1 - - [19/Aug/2024:10:03:22 +0900] "GET /pension/resources/pension1.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:10:03:22 +0900] "GET /pension/resources/aaa2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:10:03:22 +0900] "GET /favicon.ico HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [19/Aug/2024:10:03:24 +0900] "GET /pension/member/login HTTP/1.1" 200 11181
0:0:0:0:0:0:0:1 - - [19/Aug/2024:10:03:28 +0900] "POST /pension/member/loginOk HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:10:03:28 +0900] "GET /pension/main/index HTTP/1.1" 200 10465
0:0:0:0:0:0:0:1 - - [19/Aug/2024:10:03:49 +0900] "GET /pension/reserve/reserve HTTP/1.1" 200 14375
0:0:0:0:0:0:0:1 - - [19/Aug/2024:10:03:52 +0900] "GET /pension/reserve/reserve?year=2024&month=8&inday=2024-8-15 HTTP/1.1" 200 14402
0:0:0:0:0:0:0:1 - - [19/Aug/2024:10:03:53 +0900] "POST /pension/reserve/roomView HTTP/1.1" 200 12176
0:0:0:0:0:0:0:1 - - [19/Aug/2024:10:03:53 +0900] "GET /pension/resources/room/1-7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:10:03:53 +0900] "GET /pension/resources/room/5-5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:10:03:53 +0900] "GET /pension/resources/room/3-6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:10:03:53 +0900] "GET /pension/resources/room/7-5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:10:03:53 +0900] "GET /pension/resources/room/4-5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:10:03:53 +0900] "GET /pension/resources/room/2-4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:10:03:56 +0900] "GET /pension/reserve/reserveNext?id=5&inday=2024-8-15&outday=2024-8-17 HTTP/1.1" 200 16220
0:0:0:0:0:0:0:1 - - [19/Aug/2024:10:03:56 +0900] "GET /pension/resources/room/1-6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:10:03:56 +0900] "GET /pension/resources/room/1-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:10:03:56 +0900] "GET /pension/resources/room/1-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:10:03:56 +0900] "GET /pension/resources/room/1-5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:10:03:56 +0900] "GET /pension/resources/room/1-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:10:03:56 +0900] "GET /pension/resources/room/1-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:10:04:16 +0900] "POST /pension/reserve/reserveOk HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:10:04:16 +0900] "GET /pension/reserve/reserveView?jumuncode=j20240819001 HTTP/1.1" 200 10430
0:0:0:0:0:0:0:1 - - [19/Aug/2024:10:04:27 +0900] "GET /pension/reserve/reserveNext?id=5&inday=2024-8-15&outday=2024-8-17 HTTP/1.1" 200 15836
