127.0.0.1 - - [11/Sep/2024:14:27:09 +0900] "GET / HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [11/Sep/2024:14:27:11 +0900] "GET /boardModel3/ HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [11/Sep/2024:14:27:11 +0900] "GET /favicon.ico HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [11/Sep/2024:14:27:42 +0900] "GET /boardModel3/ HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [11/Sep/2024:14:27:43 +0900] "GET /boardModel3/ HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [11/Sep/2024:14:27:50 +0900] "GET /boardModel3/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Sep/2024:14:27:51 +0900] "GET /boardModel3/list HTTP/1.1" 200 4862
0:0:0:0:0:0:0:1 - - [11/Sep/2024:14:27:59 +0900] "GET /boardModel3/write HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [11/Sep/2024:14:29:02 +0900] "GET /boardModel3/list HTTP/1.1" 200 4862
0:0:0:0:0:0:0:1 - - [11/Sep/2024:14:29:06 +0900] "GET /boardModel3/write HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [11/Sep/2024:14:29:11 +0900] "GET /boardModel3/list HTTP/1.1" 200 5329
0:0:0:0:0:0:0:1 - - [11/Sep/2024:14:29:12 +0900] "GET /boardModel3/write HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [11/Sep/2024:14:29:27 +0900] "GET /boardModel3/list HTTP/1.1" 200 5329
0:0:0:0:0:0:0:1 - - [11/Sep/2024:14:29:28 +0900] "GET /boardModel3/write HTTP/1.1" 200 1857
